128.164.2.0/24, DIT - switch admin network
128.164.3.0/24, DIT - small switch admin network
128.164.4.0/24, DIT -  Wireless switch admin network
128.164.8.0/24, DIT - DHCP Testing
128.164.10.0/24, CATS
128.164.11.0/24, DIT - firewalled DIT servers
128.164.12.0/24, DIT - test network
128.164.13.0/24, DIT
128.164.14.0/24, Security
128.164.15.0/24, DIT - aSNAP
128.164.16.0/22, DIT - CCA wireless guest
128.164.28.0/24, DIT - 2100 M St. DIT
128.164.29.0/24, Medical Center
128.164.30.0/24, Medical Center
128.164.31.0/24, Medical Center
128.164.32.0/22, Medical Center
128.164.36.0/25, DIT - voice-OAM&P (future-firewalled)
128.164.36.128/25,   DIT - voice-CLANs
128.164.37.0/25,     DIT - voice-control network-A (IPSIs) (future)
128.164.37.128/26,   DIT - voice-SIP servers
128.164.37.192/26,   DIT - voice-Session Border Controllers (future)
128.164.38.0/25,     DIT - voice-control network-B (IPSIs) (future)
128.164.38.128/25,   DIT - voice-Bearer Resources
128.164.40.0/24,     DIT - voice-2021K
128.164.41.0/24,     DIT - voice-2121K
128.164.42.0/27,     DIT - voice-ACAD
128.164.43.0/27,     DIT - voice-2020k
128.164.48.0/29,     DIT - voice-1776G (cab27)
128.164.48.8/29,     DIT - voice-2033k IPSI-A
128.164.48.16/29,    DIT - voice-2033k IPSI-B
128.164.48.24.29,    DIT - voice-HOVA (cab28)
128.164.48.32/28,    DIT - voice-2033k Media Resources
128.164.48.48/28,    DIT - voice-2100M Media Resources
128.164.48.64/26,    DIT - Aston VoIP
128.164.48.128/28,   DIT - voice-CityHall-Media Resources
128.164.48.144/29,   DIT - voice-CityHall-IPSI-B
128.164.48.152/29,   DIT - unused /29 (maybe use for MVC ESS)
128.164.48.160/29,   DIT - voice-MVC IPSI-A
128.164.48.168/29,   DIT - voice-MVC IPSI-B
128.164.48.176/28,   DIT - voice-MVC Media Resources
128.164.48.192/26,   DIT - voice-2100M VoIP
128.164.49.0/25,     DIT - voice-2175K
128.164.49.128/25,   DIT - voice-2135F (Square 80)
128.164.50.0/29,     DIT - voice-2100M IPSI-A
128.164.50.8/29,     DIT - voice-2100M IPSI-B
128.164.50.64/26,    DIT - voice-2029K
128.164.50.128/26,   Medical Center
128.164.51.0/27,     DIT - voice-1919Penn-MZ
128.164.59.0/26,     DIT - voice-test-servers
128.164.59.64/26,    DIT voice-test-clients
128.164.60.0/22,     CATS Labs
128.164.73.0/24,     Medical Center
128.164.74.0/24,     Medical Center
128.164.75.0/24,     MFA
128.164.76.0/24,     2100 M St. 2nd Floor
128.164.77.0/24,     ResNet Secure Access (cameras/LOM)
128.164.78.0/24,     KVM/LOM?
128.164.79.0/24,     2140 & 2100 Penn
128.164.80.0/26,     DIT - Machine Room DMZ
128.164.80.64/26,    Security
128.164.80.128/27,   DIT - 1776G CCA aSNAP
128.164.80.160/27,   DIT - LoadBalancer LDAP Network
128.164.80.192/27,   DIT - MVC Admin Network
128.164.81.0/24,     2033 K St. 2nd & 3rd floor
128.164.82.0/24,     DIT - VMWare FBDC
128.164.83.0/24,     2033 K St. 7th floor
128.164.84.0/26,     Language Lab (firewalled)
128.164.84.128.0/26, CCAS - CCAS FBDC Cabinet
128.164.85.0/26,     DIT - 1919 Penn Law School Data
128.164.86.0/23,     Medical Center
128.164.88.0/26,     DIT - FBDC Test Network
128.164.88.64/26,    M. Escoto - Alexandria Campus
128.164.88.128/26,   Firewall testing
128.164.89.0/24,     SBPM 1 Virginia Square
128.164.90.0/24,     Miscellaneous/Unsorted
128.164.91.0/25,     DIT - Machine Room DMZ
128.164.91.128/25,   DIT - LoadBalancer Routed Network
128.164.92.0/23,     802.1X wireless network
128.164.96.0/21,     VPN Public Network
128.164.104.0/21,    DIT - VPN Admin Network
128.164.112.0/21,    DIT -VPN Network
128.164.120.0/24,    Ross Misc (Parking/Hillel/etc.)
128.164.121.0/24,    Strong/SQ80 Misc
128.164.122.0/24,    Funger/IHOS Misc
128.164.123.0/24,    Support Misc
128.164.124.0/24,    AcadCtr Misc
128.164.125.0/24,    HOG Misc
128.164.126.0/24,    Old Main/NALU
128.164.127.0/24,    DIT - GWIS/UNIX
128.164.128.0/23,    ITS - DIT
128.164.130.0/24,    DIT - Banner/CITRIX
128.164.131.0/24,    DIT - Load Balancer Network
128.164.132.0/22,    Law School
128.164.136.0/23,    CATS
128.164.138.0/24,    Support Building
128.164.139.0/24,    SEAS
128.164.140.0/24,    DIT - Airespace
