"Device Name","IP Addresses","Status","OS Info","Version","Agent Install Date","Last Contact Date","Queued Deployments"
"\\GSEHD-77KWJM1","161.253.139.178","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","7/15/2010 5:48:21 PM (Local)","9/10/2010 10:06:48 AM (Local)","0"
"\\MLB-KML-HIM106","128.164.87.95","Offline","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/12/2010 4:09:20 PM (Local)","8/18/2010 4:36:47 PM (Local)","15"
"\\B103-PC16","128.164.86.205","Sleeping","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","9/10/2010 1:23:57 AM (Local)","9/10/2010 4:07:43 AM (Local)","0"
"\\GSEHDFW-4S6SXC1","128.164.90.176","Offline","Microsoft Windows XP Professional-SERVICE PACK 3","6.2.3.181","7/12/2010 3:31:14 PM (Local)","9/9/2010 1:43:49 PM (Local)","0"
"\\FWI09-C38DTJ1","192.168.0.5","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/13/2010 4:18:14 PM (Local)","9/10/2010 9:58:57 AM (Local)","0"
"\\DHP-FXMK1267W","128.164.216.84","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/12/2010 4:45:01 PM (Local)","9/10/2010 8:54:54 AM (Local)","1"
"\\CMPADM-167LLD1","161.253.140.227","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/12/2010 3:47:32 PM (Local)","9/10/2010 9:43:30 AM (Local)","0"
"\\SASSSAC-3BC6TK1","128.164.197.92","Offline","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/12/2010 3:54:40 PM (Local)","9/9/2010 8:45:08 PM (Local)","0"
"\\GLSC-LAPTOP16","128.164.103.54","Sleeping","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","7/14/2010 3:51:58 PM (Local)","9/8/2010 8:14:34 AM (Local)","21"
"\\8LWPG51","10.10.0.191","Offline","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/14/2010 7:19:43 PM (Local)","8/12/2010 12:37:43 PM (Local)","0"
"\\SPH4-2175K707","128.164.175.108","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","5/25/2010 5:34:34 PM (Local)","9/10/2010 9:45:43 AM (Local)","0"
"\\DUQ0354022","128.164.61.199","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","9/10/2010 4:06:10 AM (Local)","9/10/2010 10:23:13 AM (Local)","0"
"\\SASS-8L5YHD1","192.168.1.3","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/12/2010 3:47:34 PM (Local)","9/10/2010 8:13:37 AM (Local)","0"
"\\GWITTOP-BPJRBM1","161.253.142.82","Offline","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","8/13/2010 10:26:12 AM (Local)","8/20/2010 6:51:34 PM (Local)","0"
"\\HIMMBAC051","128.164.29.158","Sleeping","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","9/8/2010 2:47:32 PM (Local)","9/9/2010 4:08:36 AM (Local)","20"
"\\VPGCVPG-C96XYJ1","128.164.124.80","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/15/2010 9:20:54 AM (Local)","9/10/2010 9:50:19 AM (Local)","0"
"\\SEAS10104","128.164.157.239","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","6/17/2010 2:13:06 PM (Local)","9/10/2010 8:10:18 AM (Local)","0"
"\\GWU-62724C7E884","128.164.212.233","Offline","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","8/24/2010 12:43:51 PM (Local)","8/24/2010 12:44:10 PM (Local)","0"
"\\ISSIMAGE","192.168.1.2","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","9/10/2010 9:10:43 AM (Local)","9/10/2010 9:27:08 AM (Local)","1"
"\\ESC-BLDK","128.164.120.167","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","8/6/2010 11:06:33 AM (Local)","9/10/2010 8:05:06 AM (Local)","0"
"\\CMPSCO-GK73GN1","161.253.141.204","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","7/19/2010 11:29:00 AM (Local)","9/10/2010 8:07:23 AM (Local)","0"
"\\PHM-LMB-R644","128.164.32.104","Offline","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/12/2010 4:19:48 PM (Local)","9/1/2010 4:45:07 PM (Local)","1"
"\\EVPOBO-CLK7361","128.164.138.138","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/13/2010 5:04:19 PM (Local)","9/10/2010 7:56:49 AM (Local)","0"
"\\CLASS-561","128.164.34.228","Sleeping","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","9/9/2010 3:59:44 PM (Local)","9/10/2010 4:06:13 AM (Local)","0"
"\\GWITADA-70YXQF1","128.164.105.145","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/23/2010 12:19:15 PM (Local)","9/10/2010 8:36:42 AM (Local)","0"
"\\MCD-KSD-R615A","128.164.33.76","Idle","Microsoft Windows XP Professional-Service Pack 3","6.4.2.420","4/13/2010 4:43:52 PM (Local)","9/10/2010 9:51:56 AM (Local)","0"
